Topic,Question,Answer
Emergencies,What is the first drug used in cardiac arrest?,Adrenaline 0.01 mg/kg IV
Indications/CI,Which anaesthetic is preferred in pregnant animals?,Propofol or isoflurane
Indications/CI,Safe sedative for ocular surgery?,Medetomidine
Mechanism,How does ketamine provide analgesia?,NMDA receptor antagonist
Indications/CI,Which drug should be avoided in epilepsy?,Acepromazine
Emergencies,Which anaesthetic complication is common in pigs?,Malignant hyperthermia
Inhalant Anaesthesia,What part of the machine prevents rebreathing?,Unidirectional valves and soda lime canister
Indications/CI,Which drug should be avoided in epilepsy?,Acepromazine
Local Anaesthesia,Name a local anaesthetic that is cardiotoxic if given IV.,Bupivacaine
Emergencies,What is the first drug used in cardiac arrest?,Adrenaline 0.01 mg/kg IV
Nerve Blocks,What is the purpose of the internal pudendal nerve block?,Relax penis for catheterization or surgery
Wild/Lab Animals,What drug is preferred for anaesthetizing rabbits?,Midazolam + ketamine
Inhalant Anaesthesia,Which inhalant has the fastest induction and recovery?,Sevoflurane
Indications/CI,Which drug should be avoided in epilepsy?,Acepromazine
Emergencies,What is the first drug used in cardiac arrest?,Adrenaline 0.01 mg/kg IV
Indications/CI,What agent is safest for renal compromised patients?,Isoflurane
Indications/CI,Which anaesthetic is preferred in pregnant animals?,Propofol or isoflurane
Nerve Blocks,What is the purpose of the internal pudendal nerve block?,Relax penis for catheterization or surgery
Inhalant Anaesthesia,What is the function of the vaporizer?,Converts liquid anaesthetic to gas form and regulates concentration
Wild/Lab Animals,Which drug is used for immobilization in zoo animals?,Etorphine
Emergencies,Which anaesthetic complication is common in pigs?,Malignant hyperthermia
Indications/CI,Which anaesthetic is preferred in pregnant animals?,Propofol or isoflurane
Indications/CI,Which drug is contraindicated in liver failure?,Thiopental
Local Anaesthesia,Name a local anaesthetic that is cardiotoxic if given IV.,Bupivacaine
General Anaesthesia,Which species is prone to excitation during induction with ketamine?,Horses
Inhalant Anaesthesia,What part of the machine prevents rebreathing?,Unidirectional valves and soda lime canister
Emergencies,Name two signs of anaesthetic overdose.,"Apnoea, cyanosis"
General Anaesthesia,Which induction agent causes dissociative anaesthesia?,Ketamine
Indications/CI,Which drug should be avoided in epilepsy?,Acepromazine
Indications/CI,Which drug should be avoided in epilepsy?,Acepromazine
General Anaesthesia,Which species is prone to excitation during induction with ketamine?,Horses
Mechanism,How does ketamine provide analgesia?,NMDA receptor antagonist
General Anaesthesia,Which species is prone to excitation during induction with ketamine?,Horses
Emergencies,What is the first drug used in cardiac arrest?,Adrenaline 0.01 mg/kg IV
Emergencies,What is the first drug used in cardiac arrest?,Adrenaline 0.01 mg/kg IV
Nerve Blocks,What is the purpose of the internal pudendal nerve block?,Relax penis for catheterization or surgery
General Anaesthesia,Which species is prone to excitation during induction with ketamine?,Horses
General Anaesthesia,Which general anaesthetic is safest in hepatic disease?,Propofol
