location_id,latitude,longitude,timestamp,variable_name,value,unit,data_source,confidence_score,harmonization_method,harmonization_date,harmonization_operator,validation_status,cross_reference_id,metadata_version
LOC_3110,47.042371369948135,9.572122872965119,2021-01-01 01:00:00,chlorophyll_a,4.098734975075206,µg/L,UBA,0.9687481843390459,Temporal Alignment,2021-01-01 15:00:00,Dr. Schmidt,Under Review,REF_82619,v3.0
LOC_5230,47.734644065260774,10.099109035506448,2021-01-01 11:00:00,chlorophyll_a,2.8826225834026276,µg/L,LfU-BY,0.8674136322435679,Format Standardization,2021-01-01 23:00:00,Dr. Müller,Validated,REF_64488,v1.1
LOC_8698,48.625846362536045,9.347642681718817,2021-01-01 09:00:00,chlorophyll_a,1.3785597602571296,µg/L,LfU,0.8480560403120391,Temporal Alignment,2021-01-01 21:00:00,HOMOGEN_AGENT,Validated,REF_48073,v3.2
LOC_1963,47.53227013313407,8.80345042411041,2021-01-01 22:00:00,chlorophyll_a,2.65894757533672,µg/L,LfU-HE,0.7922692865180255,Quality Filtering,2021-01-01 03:00:00,HOMOGEN_AGENT,Pending,REF_61469,v1.2
LOC_5715,47.586200543258045,10.373179248823826,2021-01-01 23:00:00,chlorophyll_a,8.846138414797222,µg/L,LfU-HE,0.7901044329797973,Format Standardization,2021-01-01 17:00:00,Dr. Müller,Under Review,REF_28304,v2.7
LOC_4182,49.208085441157,9.231241026398692,2021-01-01 00:00:00,chlorophyll_a,2.864332736863423,µg/L,LfU-HE,0.8117142593416651,Quality Filtering,2021-01-01 17:00:00,Dr. Müller,Under Review,REF_20667,v3.7
LOC_7353,48.143827598813786,9.956643216948372,2021-01-01 14:00:00,turbidity,4.1584728726467395,NTU,LfU-BY,0.9601482975241211,Quality Filtering,2021-01-01 22:00:00,HOMOGEN_AGENT,Pending,REF_42263,v2.3
LOC_4880,47.956502753121526,9.103470240201167,2021-01-01 18:00:00,turbidity,6.888573395419561,NTU,LUBW,0.8602851264412247,Format Standardization,2021-01-01 05:00:00,Dr. Schmidt,Under Review,REF_62288,v1.6
LOC_7876,47.811473639567375,9.9686201121336,2021-01-01 11:00:00,turbidity,1.8959685384051037,NTU,LfU-HE,0.8276402757173861,Temporal Alignment,2021-01-01 09:00:00,Dr. Schmidt,Validated,REF_40869,v3.8
LOC_6671,47.53078540947418,10.707815463001882,2021-01-01 19:00:00,turbidity,8.945347771144228,NTU,LfU-BW,0.8664032878793662,Format Standardization,2021-01-01 02:00:00,Dr. Schmidt,Validated,REF_42514,v2.2
LOC_8490,46.961648584673604,10.005113033440404,2021-01-01 14:00:00,turbidity,4.772216801322493,NTU,UBA,0.7999717593212149,Format Standardization,2021-01-01 06:00:00,Dr. Schmidt,Validated,REF_33155,v3.9
LOC_9729,47.73478466395235,10.906936230692855,2021-01-01 19:00:00,dissolved_oxygen,4.6613481892334745,mg/L,LUBW,0.7940180533273191,Quality Filtering,2021-01-01 23:00:00,Dr. Müller,Validated,REF_14709,v3.9
LOC_4434,47.35718372120018,9.954084047142763,2021-01-01 15:00:00,dissolved_oxygen,8.690456022770588,mg/L,LUBW,0.9641237698910338,Quality Filtering,2021-01-01 08:00:00,Dr. Müller,Under Review,REF_83381,v3.3
LOC_5560,47.42818967197476,9.727451991226244,2021-01-01 19:00:00,dissolved_oxygen,2.58496611244576,mg/L,LfU-BY,0.8332578339847856,Quality Filtering,2021-01-01 17:00:00,Dr. Müller,Under Review,REF_76874,v1.9
