location_id,latitude,longitude,timestamp,variable_name,value,unit,data_source,confidence_score,harmonization_method,harmonization_date,harmonization_operator,validation_status,cross_reference_id,metadata_version
LOC_4115,46.30587224534353,9.663713010143239,2022-01-02 16:00:00,chlorophyll_a,1.8763202249898572,µg/L,LUBW,0.8653366281707069,Quality Filtering,2022-01-02 04:00:00,Dr. Müller,Validated,REF_11190,v1.4
LOC_2242,48.26870521503848,10.474288876523662,2022-01-02 08:00:00,chlorophyll_a,4.309926837819979,µg/L,LfU,0.9047953859048945,Quality Filtering,2022-01-02 09:00:00,Dr. Müller,Under Review,REF_61271,v1.7
LOC_8641,47.28246245307769,9.121587013299836,2022-01-02 01:00:00,chlorophyll_a,5.152301582406538,µg/L,LfU,0.8978553528883136,Quality Filtering,2022-01-02 12:00:00,HOMOGEN_AGENT,Pending,REF_59204,v2.4
LOC_8364,48.38670423702454,9.556872085611245,2022-01-02 04:00:00,chlorophyll_a,2.8039172364509075,µg/L,UBA,0.7675764287503842,Temporal Alignment,2022-01-02 07:00:00,Dr. Schmidt,Pending,REF_48195,v2.9
LOC_8687,48.42816647887193,10.921371337155101,2022-01-02 17:00:00,chlorophyll_a,1.9344672387273878,µg/L,LfU-RP,0.7802661945071914,Format Standardization,2022-01-02 15:00:00,Dr. Müller,Validated,REF_11259,v3.8
LOC_7641,47.57724738380036,9.54687521680168,2022-01-02 01:00:00,turbidity,9.794280210107132,NTU,LfU,0.8198209223697623,Format Standardization,2022-01-02 11:00:00,Dr. Schmidt,Under Review,REF_97624,v1.9
LOC_5066,47.514232056622774,10.034737751717453,2022-01-02 18:00:00,turbidity,2.9808232870273126,NTU,LfU-HE,0.8235323355188564,Quality Filtering,2022-01-02 13:00:00,Dr. Müller,Under Review,REF_96377,v1.3
LOC_5367,47.29829401589151,10.820871859755988,2022-01-02 04:00:00,turbidity,9.527938617328902,NTU,LfU-BY,0.7915325954085808,Temporal Alignment,2022-01-02 15:00:00,Dr. Schmidt,Pending,REF_74847,v3.6
LOC_4061,46.20046224912092,10.393318427569056,2022-01-02 13:00:00,turbidity,0.7245340493522675,NTU,LfU,0.9476843876968579,Spatial Interpolation,2022-01-02 02:00:00,HOMOGEN_AGENT,Under Review,REF_64422,v2.6
LOC_9459,47.57958066598884,9.694691840555341,2022-01-02 12:00:00,turbidity,0.9995662362359584,NTU,LfU-BW,0.8388116867412624,Quality Filtering,2022-01-02 04:00:00,HOMOGEN_AGENT,Validated,REF_86857,v2.4
LOC_6374,47.33951077143213,9.420574998864964,2022-01-02 06:00:00,turbidity,4.599090516095116,NTU,UBA,0.9585464770012395,Spatial Interpolation,2022-01-02 20:00:00,HOMOGEN_AGENT,Validated,REF_45354,v1.4
LOC_1478,47.96580135520803,10.08901354976284,2022-01-02 03:00:00,turbidity,5.168903577031272,NTU,LfU,0.8812630136699597,Spatial Interpolation,2022-01-02 06:00:00,HOMOGEN_AGENT,Pending,REF_20823,v1.2
LOC_7040,48.07145962542995,10.645600908811316,2022-01-02 21:00:00,dissolved_oxygen,8.770132103451312,mg/L,LfU-BY,0.931687178558702,Temporal Alignment,2022-01-02 15:00:00,Dr. Schmidt,Under Review,REF_16346,v2.7
LOC_5270,47.35537600321255,9.728711507269908,2022-01-02 09:00:00,dissolved_oxygen,4.459329552329137,mg/L,LUBW,0.9219304072168453,Format Standardization,2022-01-02 14:00:00,Dr. Schmidt,Pending,REF_57005,v2.6
LOC_3933,47.64317135072452,9.287095546775502,2022-01-02 06:00:00,dissolved_oxygen,7.538159414039187,mg/L,LfU,0.8332352212575984,Format Standardization,2022-01-03 00:00:00,Dr. Müller,Under Review,REF_72907,v3.7
LOC_7031,47.20538266396176,9.817129753631965,2022-01-02 01:00:00,dissolved_oxygen,1.554140744994293,mg/L,LfU-BW,0.8302234866224802,Temporal Alignment,2022-01-02 14:00:00,Dr. Schmidt,Validated,REF_31180,v2.3
LOC_8274,47.79323656233927,10.587619804725502,2022-01-02 21:00:00,dissolved_oxygen,8.639530431444163,mg/L,LUBW,0.946748978312768,Format Standardization,2022-01-02 06:00:00,Dr. Schmidt,Validated,REF_65661,v1.2
LOC_3403,47.98733040559365,11.146530541260788,2022-01-02 11:00:00,dissolved_oxygen,8.151417219975999,mg/L,LfU-RP,0.783757481059612,Format Standardization,2022-01-02 01:00:00,Dr. Schmidt,Under Review,REF_67960,v3.2
LOC_7802,48.10371356979616,10.013788283102194,2022-01-02 22:00:00,ph,8.529257917152794,pH units,LfU-BY,0.839672004781089,Quality Filtering,2022-01-02 03:00:00,Dr. Schmidt,Validated,REF_77575,v3.6
LOC_6486,47.96790632234926,10.060385599911655,2022-01-02 18:00:00,ph,6.348310520884722,pH units,LfU-RP,0.9621162611925119,Spatial Interpolation,2022-01-02 02:00:00,Dr. Schmidt,Under Review,REF_90792,v3.0
LOC_2168,47.19671733695458,9.505190643247767,2022-01-02 20:00:00,ph,5.423683620596688,pH units,LfU,0.7556052646074654,Temporal Alignment,2022-01-02 03:00:00,HOMOGEN_AGENT,Pending,REF_63522,v2.3
LOC_4781,47.713414932534185,10.103998842340356,2022-01-02 07:00:00,ph,5.789040448821685,pH units,LfU-BY,0.9390735252436105,Spatial Interpolation,2022-01-02 01:00:00,HOMOGEN_AGENT,Validated,REF_54787,v1.7
LOC_4284,47.76149470802405,10.070272121935751,2022-01-02 06:00:00,temperature,6.744052049282672,°C,LUBW,0.8586504662516147,Temporal Alignment,2022-01-03 00:00:00,Dr. Müller,Pending,REF_72352,v1.3
LOC_9286,47.526056222301754,10.117420308111896,2022-01-02 15:00:00,temperature,2.548416885810397,°C,UBA,0.8164847823033697,Temporal Alignment,2022-01-02 14:00:00,Dr. Müller,Validated,REF_64942,v3.0
LOC_7077,47.21830487686597,10.279839502325341,2022-01-02 13:00:00,temperature,2.245149958362626,°C,LfU-HE,0.8998479581565847,Quality Filtering,2022-01-02 02:00:00,Dr. Müller,Under Review,REF_25264,v3.7
