location_id,latitude,longitude,timestamp,variable_name,value,unit,data_source,confidence_score,harmonization_method,harmonization_date,harmonization_operator,validation_status,cross_reference_id,metadata_version
LOC_3960,46.39990151942194,10.4257935981431,2023-01-01 17:00:00,chlorophyll_a,1.2024179144671034,µg/L,LfU,0.8226326420534806,Quality Filtering,2023-01-01 11:00:00,Dr. Müller,Pending,REF_59856,v3.7
LOC_3177,47.14845446079959,9.581834913703231,2023-01-01 12:00:00,chlorophyll_a,0.5845748001748756,µg/L,LfU-BW,0.8589374844656014,Spatial Interpolation,2023-01-01 23:00:00,HOMOGEN_AGENT,Validated,REF_21744,v1.2
LOC_1006,47.238698432221085,10.487512625212487,2023-01-01 02:00:00,chlorophyll_a,0.5999000216617814,µg/L,LfU-BW,0.7583012246397609,Format Standardization,2023-01-01 14:00:00,Dr. Müller,Under Review,REF_59081,v2.6
LOC_2774,47.696225312851105,9.51340437384321,2023-01-01 07:00:00,chlorophyll_a,5.90749638165155,µg/L,LfU-HE,0.9717912771221726,Spatial Interpolation,2023-01-01 17:00:00,Dr. Schmidt,Validated,REF_29731,v3.0
LOC_1809,47.257672089079605,10.427962024659452,2023-01-01 14:00:00,chlorophyll_a,0.38356405290693996,µg/L,UBA,0.878992698158942,Spatial Interpolation,2023-01-01 16:00:00,Dr. Müller,Under Review,REF_15839,v3.8
LOC_5972,48.180069141902344,10.263324516753942,2023-01-01 23:00:00,turbidity,5.97377152216763,NTU,LfU-BW,0.7615428448809772,Format Standardization,2023-01-01 01:00:00,Dr. Schmidt,Validated,REF_17407,v2.8
LOC_7384,48.438520365284454,10.512005216595515,2023-01-01 06:00:00,turbidity,6.816506650914973,NTU,LfU-RP,0.8580345076366714,Quality Filtering,2023-01-02 00:00:00,HOMOGEN_AGENT,Validated,REF_55076,v3.1
LOC_7615,48.13743101078661,10.04859296834354,2023-01-01 08:00:00,turbidity,0.5767000655950631,NTU,LfU-BY,0.8437723944411983,Temporal Alignment,2023-01-01 17:00:00,HOMOGEN_AGENT,Pending,REF_39550,v2.8
LOC_6429,47.309614622653456,9.514073806127552,2023-01-01 12:00:00,turbidity,5.150985277060042,NTU,LfU-HE,0.8534002100340496,Quality Filtering,2023-01-01 17:00:00,HOMOGEN_AGENT,Pending,REF_94350,v2.3
LOC_8187,46.9483644582589,9.518814605377774,2023-01-01 11:00:00,turbidity,1.6531486512943077,NTU,LfU,0.8411315431402631,Quality Filtering,2023-01-01 06:00:00,HOMOGEN_AGENT,Validated,REF_52821,v1.5
LOC_8004,47.31159233193904,9.982195323579502,2023-01-01 17:00:00,turbidity,8.923031937953866,NTU,UBA,0.8283140242965652,Format Standardization,2023-01-01 14:00:00,Dr. Müller,Validated,REF_85122,v3.3
LOC_2907,47.2288398340509,10.092893973363722,2023-01-01 02:00:00,turbidity,6.225873102518176,NTU,LfU-RP,0.8849922289032679,Format Standardization,2023-01-01 23:00:00,Dr. Müller,Pending,REF_14450,v1.8
LOC_9263,46.71373745440315,10.027395368759121,2023-01-01 11:00:00,dissolved_oxygen,6.239806566291631,mg/L,LfU-BY,0.9256098701464499,Quality Filtering,2023-01-01 03:00:00,Dr. Schmidt,Under Review,REF_29239,v2.4
