location_id,latitude,longitude,timestamp,variable_name,value,unit,data_source,confidence_score,harmonization_method,harmonization_date,harmonization_operator,validation_status,cross_reference_id,metadata_version
LOC_8746,47.664649959113,10.436196698869065,2025-01-03 13:00:00,chlorophyll_a,6.138649671926752,µg/L,LfU-BY,0.9461993670534858,Temporal Alignment,2025-01-03 04:00:00,Dr. Schmidt,Validated,REF_82879,v2.5
LOC_4711,47.89668814462064,9.92731704613473,2025-01-03 11:00:00,chlorophyll_a,7.071101377505238,µg/L,LfU,0.776626178397551,Spatial Interpolation,2025-01-03 11:00:00,Dr. Müller,Under Review,REF_27497,v1.1
LOC_2732,47.71078552391644,9.971447685775573,2025-01-03 05:00:00,chlorophyll_a,8.847252417951726,µg/L,LfU-RP,0.875094359871767,Format Standardization,2025-01-03 05:00:00,Dr. Müller,Pending,REF_92068,v2.8
LOC_2775,48.139872907572396,9.655812786608388,2025-01-03 14:00:00,chlorophyll_a,9.312055479232939,µg/L,LfU,0.8976651997069842,Temporal Alignment,2025-01-03 18:00:00,Dr. Schmidt,Under Review,REF_40819,v2.7
LOC_8029,47.022846694201576,10.12271017172302,2025-01-03 11:00:00,chlorophyll_a,5.150031903464439,µg/L,LUBW,0.9169249497004537,Quality Filtering,2025-01-03 15:00:00,Dr. Schmidt,Validated,REF_63970,v3.2
LOC_3697,47.676748744756374,10.417121864612614,2025-01-03 09:00:00,turbidity,4.3203461303618385,NTU,LfU-HE,0.8756194752487759,Format Standardization,2025-01-03 10:00:00,Dr. Schmidt,Under Review,REF_10878,v2.9
LOC_9458,47.82970252953649,9.728203090112528,2025-01-03 13:00:00,turbidity,4.8084022827381085,NTU,LfU-BW,0.914340327027709,Spatial Interpolation,2025-01-03 11:00:00,HOMOGEN_AGENT,Pending,REF_44837,v1.6
LOC_4361,48.6520348544926,10.107201438986577,2025-01-03 19:00:00,turbidity,1.6854041506275452,NTU,LfU,0.9781150353557041,Quality Filtering,2025-01-03 03:00:00,Dr. Müller,Validated,REF_50475,v3.8
LOC_2242,47.434265941165584,9.80937104283989,2025-01-03 20:00:00,dissolved_oxygen,7.318976404704445,mg/L,LfU,0.7879646279459491,Quality Filtering,2025-01-03 19:00:00,HOMOGEN_AGENT,Pending,REF_65304,v1.9
LOC_3183,47.77990248488291,10.378472029542543,2025-01-03 19:00:00,dissolved_oxygen,2.1441455918349788,mg/L,LfU-BW,0.9201835572908222,Temporal Alignment,2025-01-03 13:00:00,HOMOGEN_AGENT,Pending,REF_21727,v2.6
LOC_6135,48.71256647327963,10.72053975000242,2025-01-03 07:00:00,dissolved_oxygen,7.013624410666515,mg/L,UBA,0.7554571144383803,Quality Filtering,2025-01-03 22:00:00,HOMOGEN_AGENT,Under Review,REF_73837,v2.2
LOC_5092,47.85316427703685,10.335999385303696,2025-01-03 19:00:00,dissolved_oxygen,8.993769029497631,mg/L,LfU-RP,0.8328547820708305,Format Standardization,2025-01-03 15:00:00,Dr. Schmidt,Under Review,REF_65618,v3.3
LOC_2822,47.25592608433812,10.474285533498373,2025-01-03 09:00:00,dissolved_oxygen,1.6230137923158214,mg/L,UBA,0.9177136354688354,Temporal Alignment,2025-01-03 03:00:00,Dr. Schmidt,Under Review,REF_26263,v2.0
LOC_3738,46.800214928529606,9.714441051216122,2025-01-03 01:00:00,dissolved_oxygen,5.053737666803459,mg/L,LfU-BW,0.9095345804173824,Format Standardization,2025-01-04 00:00:00,Dr. Schmidt,Validated,REF_29925,v3.9
LOC_5059,48.05651785877922,9.866575059006626,2025-01-03 18:00:00,ph,0.4042828410688545,pH units,UBA,0.86946855309196,Temporal Alignment,2025-01-03 09:00:00,HOMOGEN_AGENT,Validated,REF_63172,v3.3
LOC_7651,46.78776009806836,9.181511846666329,2025-01-03 18:00:00,ph,3.9412463463588767,pH units,LfU-BY,0.755354137433994,Quality Filtering,2025-01-03 02:00:00,Dr. Müller,Validated,REF_11897,v1.6
LOC_2509,47.27761132018118,10.724141838828265,2025-01-03 04:00:00,ph,5.07239423656465,pH units,LfU,0.8309344799399038,Spatial Interpolation,2025-01-03 03:00:00,HOMOGEN_AGENT,Pending,REF_10043,v3.2
LOC_4578,47.50652569054372,10.354154592849593,2025-01-03 09:00:00,ph,4.569219080351104,pH units,LfU-BY,0.805263251649819,Temporal Alignment,2025-01-03 23:00:00,Dr. Müller,Under Review,REF_86849,v3.6
LOC_8115,47.75786421513309,8.989266672785234,2025-01-03 17:00:00,ph,6.405510603311838,pH units,LfU-RP,0.9563277387868587,Format Standardization,2025-01-03 03:00:00,HOMOGEN_AGENT,Validated,REF_91730,v3.5
LOC_1126,46.51007272562733,10.646210368775328,2025-01-03 22:00:00,temperature,8.725283743795144,°C,LfU,0.8579918181199234,Quality Filtering,2025-01-03 18:00:00,HOMOGEN_AGENT,Pending,REF_40155,v2.1
LOC_5108,47.452005028172074,9.99177250386298,2025-01-03 01:00:00,temperature,6.649367676691733,°C,LfU-RP,0.9419796205624693,Format Standardization,2025-01-03 09:00:00,Dr. Schmidt,Validated,REF_90630,v1.7
LOC_2333,47.617436760826365,10.198304761078543,2025-01-03 05:00:00,temperature,6.938392895289728,°C,UBA,0.9094991211906379,Spatial Interpolation,2025-01-03 22:00:00,Dr. Müller,Validated,REF_75605,v3.7
LOC_3340,46.71880986561772,10.63352809067747,2025-01-06 22:00:00,chlorophyll_a,6.857644358042941,µg/L,UBA,0.8035369898650516,Quality Filtering,2025-01-06 07:00:00,HOMOGEN_AGENT,Under Review,REF_12471,v2.1
LOC_2176,46.71445712519514,10.528868362047234,2025-01-06 01:00:00,chlorophyll_a,0.7889247540094714,µg/L,LUBW,0.9151367254603738,Format Standardization,2025-01-06 21:00:00,Dr. Müller,Under Review,REF_76959,v3.9
LOC_5242,47.70717586213353,9.793009089540503,2025-01-06 19:00:00,chlorophyll_a,6.637868933076289,µg/L,UBA,0.7982005012512866,Format Standardization,2025-01-06 12:00:00,Dr. Müller,Under Review,REF_45347,v2.1
LOC_5186,47.0380696935675,10.039654574669077,2025-01-06 16:00:00,chlorophyll_a,1.8169764101958996,µg/L,LfU-BW,0.9000135025914483,Temporal Alignment,2025-01-06 21:00:00,HOMOGEN_AGENT,Under Review,REF_57219,v1.0
LOC_8020,46.92514300602639,10.588571878721051,2025-01-06 07:00:00,chlorophyll_a,1.9141084670189783,µg/L,LUBW,0.7915346796384924,Format Standardization,2025-01-06 07:00:00,Dr. Schmidt,Pending,REF_34017,v2.9
LOC_4930,47.83076918531431,9.769795650789195,2025-01-06 13:00:00,turbidity,9.329107547785478,NTU,LfU-HE,0.9703235203066738,Quality Filtering,2025-01-06 21:00:00,Dr. Schmidt,Under Review,REF_39264,v2.9
LOC_3154,48.127778714354015,9.914559659842805,2025-01-06 09:00:00,turbidity,3.179028619652994,NTU,LfU-BY,0.8165339990513951,Format Standardization,2025-01-06 18:00:00,HOMOGEN_AGENT,Validated,REF_19216,v1.8
LOC_2490,47.01520867841926,10.245351121610907,2025-01-06 09:00:00,turbidity,1.0808323362482706,NTU,LfU-BW,0.8246429512355773,Quality Filtering,2025-01-06 09:00:00,HOMOGEN_AGENT,Validated,REF_70570,v1.6
LOC_2568,47.35854287711709,10.645924672354127,2025-01-06 22:00:00,dissolved_oxygen,2.027386662842142,mg/L,LfU-BW,0.9747125818863558,Quality Filtering,2025-01-06 17:00:00,Dr. Müller,Validated,REF_34004,v3.7
LOC_1188,48.59800443123684,9.022654097948832,2025-01-06 19:00:00,dissolved_oxygen,8.042561298138592,mg/L,LfU-RP,0.9443078134516198,Format Standardization,2025-01-06 20:00:00,HOMOGEN_AGENT,Under Review,REF_76841,v2.1
LOC_3450,47.649697423052636,10.394522302144635,2025-01-06 16:00:00,dissolved_oxygen,6.968556054662939,mg/L,UBA,0.9290250423952977,Spatial Interpolation,2025-01-06 07:00:00,HOMOGEN_AGENT,Under Review,REF_55304,v2.1
LOC_6216,47.42172844583859,10.394547952666983,2025-01-06 10:00:00,dissolved_oxygen,2.31380743287523,mg/L,LfU-BW,0.8324971818427676,Spatial Interpolation,2025-01-06 02:00:00,Dr. Schmidt,Pending,REF_61526,v3.4
LOC_9349,48.284472175850894,10.050091493015819,2025-01-06 09:00:00,dissolved_oxygen,5.895665559839253,mg/L,LfU-BW,0.941219027588591,Format Standardization,2025-01-06 18:00:00,Dr. Schmidt,Validated,REF_33394,v2.4
LOC_9345,47.593673407736695,10.49265589858348,2025-01-06 01:00:00,dissolved_oxygen,4.405816559078592,mg/L,LfU-BW,0.9644579659808197,Quality Filtering,2025-01-06 02:00:00,Dr. Müller,Validated,REF_88881,v3.8
