Difficulty,Question,Answer
Medium,What is the route for epidural injection in cattle?,Sacrococcygeal or first intercoccygeal space
Medium,Mention 2 complications of general anaesthesia.,"Hypotension, hypoventilation"
Easy,What drug is used for epidural anaesthesia?,Lignocaine
Easy,What is the use of Atipamezole?,Reversal of medetomidine
Medium,What is the effect of opioids on respiration?,Respiratory depression
Easy,What is the dose of diazepam in cats?,0.05–0.4 mg/kg IV
Medium,What is the effect of opioids on respiration?,Respiratory depression
Medium,What is the mechanism of action of ketamine?,NMDA receptor antagonist
Hard,Explain the pharmacodynamics of medetomidine.,"Alpha-2 agonist, CNS depression, vasoconstriction, bradycardia"
Easy,Name one inhalant anaesthetic.,Halothane
Hard,Discuss anaesthesia for a C-section in dogs.,"Use short-acting agents, avoid medetomidine, careful monitoring of fetus"
Medium,What is the mechanism of action of ketamine?,NMDA receptor antagonist
Hard,Discuss anaesthesia for a C-section in dogs.,"Use short-acting agents, avoid medetomidine, careful monitoring of fetus"
Medium,Describe the palpebral reflex significance.,Its presence indicates light anaesthesia.
Easy,Name one alpha-2 adrenergic agonist.,Xylazine
Hard,List reasons for cyanosis during anaesthesia.,"Hypoventilation, airway obstruction, poor perfusion"
Medium,Mention 2 complications of general anaesthesia.,"Hypotension, hypoventilation"
Medium,Describe the palpebral reflex significance.,Its presence indicates light anaesthesia.
Easy,What is the dose of diazepam in cats?,0.05–0.4 mg/kg IV
Hard,How do you perform a pudendal nerve block?,"Insert needle via rectum at ischiorectal fossa, inject local anaesthetic"
Hard,How do you perform a pudendal nerve block?,"Insert needle via rectum at ischiorectal fossa, inject local anaesthetic"
Hard,Interpret a situation with prolonged recovery.,"Drug overdose, hypothermia, hepatic dysfunction"
Medium,Describe the stages of anaesthesia.,"Stage I: Analgesia, Stage II: Excitement, Stage III: Surgical, Stage IV: Overdose"
Medium,Mention 2 complications of general anaesthesia.,"Hypotension, hypoventilation"
Hard,List reasons for cyanosis during anaesthesia.,"Hypoventilation, airway obstruction, poor perfusion"
Medium,Compare Atropine and Glycopyrrolate.,"Atropine crosses BBB and is fast-acting; Glycopyrrolate does not cross BBB, more stable."
Easy,What drug is used for epidural anaesthesia?,Lignocaine
Hard,Interpret a situation with prolonged recovery.,"Drug overdose, hypothermia, hepatic dysfunction"
Easy,What drug is used for epidural anaesthesia?,Lignocaine
Easy,What does MAC stand for?,Minimum Alveolar Concentration
Easy,What does MAC stand for?,Minimum Alveolar Concentration
Hard,What is the impact of hepatic disease on anaesthesia?,Altered metabolism and prolonged drug effect
Easy,Name one inhalant anaesthetic.,Halothane
Easy,What is the use of Atipamezole?,Reversal of medetomidine
Easy,What is the reversal agent for opioids?,Naloxone
Hard,What is the impact of hepatic disease on anaesthesia?,Altered metabolism and prolonged drug effect
Hard,Design a GA protocol for a colic surgery in horse.,Premed: Detomidine + Butorphanol; Induction: Ketamine + Diazepam; Maintenance: Isoflurane
Easy,What does MAC stand for?,Minimum Alveolar Concentration
Hard,Discuss anaesthesia for a C-section in dogs.,"Use short-acting agents, avoid medetomidine, careful monitoring of fetus"
Hard,Interpret a situation with prolonged recovery.,"Drug overdose, hypothermia, hepatic dysfunction"
Easy,Define general anaesthesia.,"A reversible state of unconsciousness, analgesia, muscle relaxation, and loss of reflexes."
Easy,Dose of Atropine in dogs?,0.02–0.05 mg/kg
Medium,Why is thiopental avoided in sighthounds?,Slow metabolism due to low fat content
Easy,Name one inhalant anaesthetic.,Halothane
Hard,Why is bupivacaine not preferred in IVRA?,Cardiotoxic if given IV
Easy,What does MAC stand for?,Minimum Alveolar Concentration
Hard,How do you perform a pudendal nerve block?,"Insert needle via rectum at ischiorectal fossa, inject local anaesthetic"
Easy,What is the use of Atipamezole?,Reversal of medetomidine
Medium,Compare Atropine and Glycopyrrolate.,"Atropine crosses BBB and is fast-acting; Glycopyrrolate does not cross BBB, more stable."
Easy,Dose of Atropine in dogs?,0.02–0.05 mg/kg
Easy,What is the reversal agent for opioids?,Naloxone
Medium,Compare Atropine and Glycopyrrolate.,"Atropine crosses BBB and is fast-acting; Glycopyrrolate does not cross BBB, more stable."
Hard,Why is bupivacaine not preferred in IVRA?,Cardiotoxic if given IV
Easy,What is the reversal agent for opioids?,Naloxone
Medium,Explain neuroleptanalgesia.,Combination of a tranquilizer and opioid for sedation and analgesia.
Medium,Describe the stages of anaesthesia.,"Stage I: Analgesia, Stage II: Excitement, Stage III: Surgical, Stage IV: Overdose"
Easy,What drug is used for epidural anaesthesia?,Lignocaine
Easy,What is the use of Atipamezole?,Reversal of medetomidine
Medium,Why is thiopental avoided in sighthounds?,Slow metabolism due to low fat content
Easy,Name one inhalant anaesthetic.,Halothane
Hard,How do you perform a pudendal nerve block?,"Insert needle via rectum at ischiorectal fossa, inject local anaesthetic"
Hard,How do you perform a pudendal nerve block?,"Insert needle via rectum at ischiorectal fossa, inject local anaesthetic"
Medium,Mention 2 complications of general anaesthesia.,"Hypotension, hypoventilation"
Hard,How would you manage malignant hyperthermia in pigs?,"Stop anaesthetic, give dantrolene, cool the body, support ventilation"
Hard,What is the impact of hepatic disease on anaesthesia?,Altered metabolism and prolonged drug effect
Medium,Why is thiopental avoided in sighthounds?,Slow metabolism due to low fat content
Easy,What does MAC stand for?,Minimum Alveolar Concentration
Easy,What does MAC stand for?,Minimum Alveolar Concentration
Easy,Name one inhalant anaesthetic.,Halothane
Hard,List reasons for cyanosis during anaesthesia.,"Hypoventilation, airway obstruction, poor perfusion"
Easy,Name one inhalant anaesthetic.,Halothane
Medium,Describe the stages of anaesthesia.,"Stage I: Analgesia, Stage II: Excitement, Stage III: Surgical, Stage IV: Overdose"
Hard,What is the impact of hepatic disease on anaesthesia?,Altered metabolism and prolonged drug effect
Easy,What is the reversal agent for opioids?,Naloxone
Hard,List reasons for cyanosis during anaesthesia.,"Hypoventilation, airway obstruction, poor perfusion"
Hard,List reasons for cyanosis during anaesthesia.,"Hypoventilation, airway obstruction, poor perfusion"
Hard,How would you manage malignant hyperthermia in pigs?,"Stop anaesthetic, give dantrolene, cool the body, support ventilation"
Medium,Name two reversal agents for xylazine.,"Yohimbine, Atipamezole"
Hard,How would you manage malignant hyperthermia in pigs?,"Stop anaesthetic, give dantrolene, cool the body, support ventilation"
Medium,Name two reversal agents for xylazine.,"Yohimbine, Atipamezole"
Hard,List reasons for cyanosis during anaesthesia.,"Hypoventilation, airway obstruction, poor perfusion"
Medium,Why is thiopental avoided in sighthounds?,Slow metabolism due to low fat content
Medium,Compare Atropine and Glycopyrrolate.,"Atropine crosses BBB and is fast-acting; Glycopyrrolate does not cross BBB, more stable."
Hard,Why combine diazepam with ketamine?,To improve muscle relaxation and reduce excitation
Medium,What is the route for epidural injection in cattle?,Sacrococcygeal or first intercoccygeal space
Medium,Describe the stages of anaesthesia.,"Stage I: Analgesia, Stage II: Excitement, Stage III: Surgical, Stage IV: Overdose"
Easy,Name one alpha-2 adrenergic agonist.,Xylazine
Hard,What is the impact of hepatic disease on anaesthesia?,Altered metabolism and prolonged drug effect
Hard,How would you manage malignant hyperthermia in pigs?,"Stop anaesthetic, give dantrolene, cool the body, support ventilation"
Medium,Compare Atropine and Glycopyrrolate.,"Atropine crosses BBB and is fast-acting; Glycopyrrolate does not cross BBB, more stable."
