GEMS Station Number,Date,Time,0.3,Parameter,0,,Value,Unit,Fair
DEU00018,2023-05-09,00:00,0.3,O2-Dis,0,,11.4,mg/l,Fair
DEU00018,2023-06-06,00:00,0.3,O2-Dis,0,,11.7,mg/l,Fair
DEU00018,2023-07-24,00:00,0.3,TEMP,0,,21.9,°C,Fair
DEU00018,2023-07-24,00:00,0.3,O2-Dis,0,,13.7,mg/l,Fair
DEU00018,2023-08-08,00:00,0.3,pH,0,,8.3,---,Fair
DEU00018,2023-09-05,00:00,0.3,TEMP,0,,20.5,°C,Fair
DEU00018,2023-09-05,00:00,0.3,O2-Dis,0,,9.5,mg/l,Fair
DEU00018,2023-10-04,00:00,0.3,TEMP,0,,17.0,°C,Fair
DEU00018,2023-12-05,00:00,0.3,TEMP,0,,2.8,°C,Fair
DEU00018,2023-12-05,00:00,0.3,pH,0,,7.7,---,Fair
DEU00018,2023-01-10,00:00,0.3,O2-Dis,0,,11.6,mg/l,Fair
DEU00018,2023-02-07,00:00,0.3,O2-Dis,0,,14.4,mg/l,Fair
DEU00018,2023-03-07,00:00,0.3,pH,0,,7.5,---,Fair
DEU00018,2023-04-04,00:00,0.3,TEMP,0,,8.3,°C,Fair
DEU00018,2023-04-04,00:00,0.3,pH,0,,8.0,---,Fair
DEU00018,2023-06-06,00:00,0.3,pH,0,,8.7,---,Fair
DEU00018,2023-08-08,00:00,0.3,TEMP,0,,18.9,°C,Fair
DEU00018,2023-08-08,00:00,0.3,O2-Dis,0,,11.2,mg/l,Fair
DEU00018,2023-08-21,00:00,0.3,TEMP,0,,24.0,°C,Fair
DEU00018,2023-08-21,00:00,0.3,O2-Dis,0,,7.7,mg/l,Fair
DEU00018,2023-10-04,00:00,0.3,pH,0,,8.1,---,Fair
DEU00018,2023-11-07,00:00,0.3,TEMP,0,,10.6,°C,Fair
DEU00018,2023-11-07,00:00,0.3,pH,0,,7.9,---,Fair
DEU00018,2023-03-07,00:00,0.3,O2-Dis,0,,13.2,mg/l,Fair
DEU00018,2023-06-06,00:00,0.3,TEMP,0,,20.3,°C,Fair
DEU00018,2023-07-11,00:00,0.3,TEMP,0,,23.4,°C,Fair
DEU00018,2023-07-24,00:00,0.3,pH,0,,8.8,---,Fair
DEU00018,2023-08-21,00:00,0.3,pH,0,,7.9,---,Fair
DEU00018,2023-09-05,00:00,0.3,pH,0,,8.1,---,Fair
DEU00018,2023-01-10,00:00,0.3,TEMP,0,,6.5,°C,Fair
DEU00018,2023-01-10,00:00,0.3,pH,0,,7.5,---,Fair
DEU00018,2023-02-07,00:00,0.3,TEMP,0,,2.7,°C,Fair
DEU00018,2023-02-07,00:00,0.3,pH,0,,7.9,---,Fair
DEU00018,2023-07-11,00:00,0.3,pH,0,,8.7,---,Fair
DEU00018,2023-10-04,00:00,0.3,O2-Dis,0,,10.3,mg/l,Fair
DEU00018,2023-03-07,00:00,0.3,TEMP,0,,4.1,°C,Fair
DEU00018,2023-04-04,00:00,0.3,O2-Dis,0,,12.6,mg/l,Fair
DEU00018,2023-05-09,00:00,0.3,pH,0,,8.6,---,Fair
DEU00018,2023-07-11,00:00,0.3,O2-Dis,0,,9.4,mg/l,Fair
DEU00018,2023-11-07,00:00,0.3,O2-Dis,0,,10.2,mg/l,Fair
DEU00018,2023-12-05,00:00,0.3,O2-Dis,0,,13.2,mg/l,Fair
