satellite_name,sensor_type,acquisition_date,latitude,longitude,pixel_size,ndvi,surface_temperature,reflectance_blue,reflectance_green,reflectance_red,reflectance_nir,chlorophyll_index,turbidity_index,cloud_coverage,quality_flag,lake_name,atmospheric_correction,radiometric_calibration,processing_level,data_center,download_timestamp,file_size_mb,compression_ratio
Landsat-9,OLCI,2024-01-05,47.65936986867056,9.175476825048426,20.0,0.16714555180205948,-1.7580691213136825,0.04917822505428773,0.05079127979292412,0.03760045426791572,0.10866984577745167,3.650324560329903,2.180625610860441,64.87770241065141,0,Bodensee,Partial,Legacy,L2A,DLR,2024-01-05 23:13:55.227668,489.7187004917397,0.7880366252464197
Landsat-9,OLCI,2024-01-10,47.6585854982957,9.175734922638975,10.0,0.11947778759347523,-2.1276267173801076,0.041075027137268225,0.04524192546075345,0.0391591256749531,0.10889773176894832,3.5983996987982865,2.1442588761931134,26.174183970860778,1,Bodensee,Partial,Standard,L3,NASA,2024-01-10 16:28:08.353818,120.51006839500535,0.8874452723808154
Landsat-8,MSI,2024-01-15,47.65898327254739,9.174447149929355,20.0,0.11306658391520351,1.657091464081927,0.0548067113367641,0.045435352273417225,0.03699602936495483,0.08301559599617739,3.07082039743342,1.8226622168379885,31.573214495054096,0,Bodensee,None,Recent,L1C,ESA,2024-01-15 16:21:06.458090,169.2024901362716,0.7278291278413433
Landsat-8,OLI,2024-01-17,47.65953291165101,9.174947476347054,10.0,0.07093360520150821,1.2986443052956056,0.046138990927384244,0.0451533105743608,0.03702516484531679,0.08882102953173183,3.3009364782464945,1.9587662212407588,36.55399928483917,1,Bodensee,Applied,Legacy,L3,DLR,2024-01-17 16:08:02.348090,53.94383730485625,0.8609109963729605
Sentinel-3B,OLI-2,2024-01-19,47.65851548571465,9.175422973182878,10.0,0.1304225822700256,1.4032973573840062,0.03641425372392934,0.04764984694323336,0.04706075179921315,0.10595505429711662,3.326249174516894,1.9720225605380242,46.232067269365906,1,Bodensee,Partial,Recent,L2A,EUMETSAT,2024-01-19 19:24:40.626309,93.56968836294959,0.8030417291139772
Sentinel-2B,OLCI,2024-01-24,47.659605790396505,9.174656985502402,30.0,0.1634293550246675,-3.3046007731192493,0.050702049654383644,0.049661845516459746,0.029925183646767693,0.09527737968890501,3.2939681598769686,1.947991018836894,63.18744482647721,1,Bodensee,Applied,Standard,L3,ESA,2024-01-24 22:36:24.596372,135.90785344638286,0.7445814270049178
Landsat-9,MSI,2024-01-29,47.65902231906791,9.174550550379552,20.0,0.07423499685144297,-6.6173537172852415,0.03486732595875818,0.05394846371978705,0.026072938217482394,0.061627672238963524,3.0535369251112146,1.7993328400584334,76.21408414026999,1,Bodensee,Partial,Legacy,L3,NASA,2024-01-29 20:21:11.555447,371.3866341102215,0.8865013344995138
Sentinel-2B,OLCI,2024-01-31,47.658470064520024,9.17570312096577,30.0,0.15080535093621264,-7.759951233558449,0.04422054574787556,0.03874189996778857,0.0448053324327342,0.09488120908724532,2.879770430195361,1.6933943137987189,56.439138800788186,1,Bodensee,Partial,Recent,L1C,ESA,2024-01-31 19:02:36.339707,234.64933033983743,0.8310257006436188
Landsat-9,MSI,2024-02-05,47.658327938043755,9.175401701011827,20.0,0.1660798252855067,-7.40995833779197,0.044798807141818976,0.05897068822563745,0.030330087416309652,0.07692177879840817,3.0787783230807744,1.8088227421386738,36.79906766562619,1,Bodensee,Applied,Legacy,L2A,NASA,2024-02-05 12:27:08.188071,243.88426803872326,0.7175190600526281
Sentinel-2B,OLI,2024-02-07,47.65772654664005,9.174679663040255,10.0,0.09295899875177391,-7.8364603231016625,0.054339383945936306,0.04444441321838067,0.03034131278681633,0.07542308012836284,1.8142937170050648,1.0486345103130685,45.74784139849494,1,Bodensee,Partial,Legacy,L3,NASA,2024-02-07 22:39:20.610197,197.56980821405736,0.8957818970048411
