satellite_name,sensor_type,acquisition_date,latitude,longitude,pixel_size,ndvi,surface_temperature,reflectance_blue,reflectance_green,reflectance_red,reflectance_nir,chlorophyll_index,turbidity_index,cloud_coverage,quality_flag,lake_name,atmospheric_correction,radiometric_calibration,processing_level,data_center,download_timestamp,file_size_mb,compression_ratio
Landsat-9,OLCI,2025-01-03,47.65835091423707,9.17510157018722,20.0,0.17633816948309228,2.28303799001707,0.045417030095446516,0.04682961537403726,0.028243638367892177,0.07860899539372687,3.7565331537503406,2.24806517652033,42.10794875069507,1,Bodensee,Partial,Legacy,L2A,EUMETSAT,2025-01-03 13:55:27.305112,242.03430460633572,0.8310925203104443
Sentinel-3A,OLCI,2025-01-08,47.658564907394265,9.175254085044257,10.0,0.05732777589257548,1.510002307089433,0.050802616512463414,0.03843215073978337,0.02646900545990577,0.07965809077251297,4.702518979311129,2.810315983446316,40.275652363480305,1,Bodensee,None,Recent,L1C,NASA,2025-01-08 20:54:56.339994,432.1425807405008,0.8503252669520225
Sentinel-3A,OLCI,2025-01-13,47.658905953835585,9.175381349530982,10.0,0.17913856051447885,-0.34738289786821264,0.03485577525385993,0.04908815699648392,0.04350914815334969,0.10461694239288016,4.074848640529915,2.428522611473607,72.31175622401636,1,Bodensee,Partial,Standard,L1C,EUMETSAT,2025-01-13 08:50:45.072265,159.7193744714885,0.8361584910592411
Sentinel-2B,MSI,2025-01-15,47.659640701694954,9.175872671655467,20.0,0.11214598343475916,-3.0171315109136465,0.05487393103796562,0.03900458283301762,0.04933734800503327,0.1011656659888771,3.649659076231285,2.171382923810735,49.750065281005206,1,Bodensee,Applied,Standard,L1C,NASA,2025-01-15 19:25:15.115406,441.32304686184034,0.8899746047111117
Sentinel-3A,MSI,2025-01-17,47.65871824929269,9.175166764167047,30.0,0.17268277736899856,-0.47571159227111837,0.03558841165821795,0.058262340236056295,0.038083387599895345,0.08776738269459972,3.9164287023929534,2.3294512397044764,33.34742233419525,1,Bodensee,Partial,Legacy,L3,NASA,2025-01-17 04:23:36.161220,186.50003968349634,0.871447750307403
Landsat-9,MSI,2025-01-22,47.65846677621062,9.17521966020596,20.0,0.1532916096680884,-6.580198566441983,0.039870152110716484,0.05338825883063804,0.04490039801089668,0.08227720638626308,3.19258165027694,1.8903169020597195,22.864615261179367,1,Bodensee,Applied,Legacy,L1C,ESA,2025-01-22 12:14:56.832547,203.48584361500068,0.7953280089629826
Sentinel-3B,OLCI,2025-01-25,47.65836523233496,9.175495654328794,30.0,0.09523757123043985,-0.7870917088027047,0.044083704056988145,0.0554826787444965,0.02841884690949201,0.10453638857188405,3.4327320226323033,2.031630902299553,62.7434020760217,1,Bodensee,Applied,Legacy,L3,DLR,2025-01-25 14:07:16.364987,363.089629409737,0.7285491532264792
Sentinel-3B,OLCI,2025-01-28,47.65921156720092,9.17497805898839,30.0,0.08072445908608065,-3.1616222064329706,0.05081974062872087,0.05786170146015873,0.02634883701442324,0.0736971131069273,3.164870056990825,1.8682361774968606,76.21572896378156,1,Bodensee,Partial,Standard,L2A,NASA,2025-01-28 09:07:03.941938,100.91009000933826,0.8935133829550022
Landsat-9,OLI,2025-02-01,47.659214327742184,9.174900664952556,10.0,0.10916196555569085,-9.698523855144241,0.036105696074916135,0.05546922348210925,0.02859372421439961,0.09376098869798305,2.884391073950707,1.6965445251286513,31.977929503700274,1,Bodensee,None,Legacy,L3,NASA,2025-02-01 13:47:28.928905,322.45315074161334,0.8298117231364996
Landsat-9,MSI,2025-02-03,47.6586461966105,9.175214510395056,30.0,0.0610601858072558,-5.832732207875377,0.03406299454794715,0.04337161073317573,0.04794312657924813,0.06774837803843303,3.3295618856489684,1.962020492255171,62.54784586096605,1,Bodensee,Applied,Recent,L1C,EUMETSAT,2025-02-03 10:39:08.115642,351.03237961943466,0.861221288554274
