original_satellite_id,location_id,latitude,longitude,timestamp,variable_name,raw_value,calibrated_value,unit,confidence_interval_lower,confidence_interval_upper,calibration_model,model_performance_score,calibration_date,calibration_operator,ground_truth_points,validation_rmse,validation_r2,satellite_platform,atmospheric_conditions,water_vapor_content,aerosol_optical_depth
8713,LOC_4442,47.60301526324577,10.13229742154205,2020-01-01 10:00:00,chlorophyll_index,7.770756319562288,8.679438784297497,index,7.811494905867748,9.547382662727248,Neural Network,0.9036553186256577,2020-01-01 06:00:00,Dr. Fischer,21,0.7002092861384812,0.9042536929350655,Sentinel-3A,Light Cloud,2.4620315061610043,0.1746004102823896
9272,LOC_5211,47.09791999937787,10.476820174931946,2020-01-01 10:00:00,chlorophyll_index,7.284540243465725,6.407703235722297,index,5.766932912150068,7.048473559294528,Gradient Boosting,0.8024230004032308,2020-01-01 21:00:00,Dr. Fischer,16,0.2810107550099255,0.9401973881256745,Landsat-9,Moderate Cloud,0.9405389112846114,0.294593202290677
7816,LOC_9792,47.81787423555007,9.520751058658231,2020-01-01 12:00:00,chlorophyll_index,5.693407103857428,4.957368360243671,index,4.461631524219304,5.453105196268039,Gradient Boosting,0.8393381459515279,2020-01-01 03:00:00,CALIBRO_AGENT,31,0.48974263665553897,0.8310195683454897,Landsat-8,Heavy Cloud,1.7499371113482693,0.13890889727633032
3567,LOC_2179,47.08166851855974,9.822022506693342,2020-01-01 04:00:00,turbidity_index,7.222649180020139,6.0572074530157485,index,5.4514867077141735,6.662928198317324,Neural Network,0.795612289237009,2020-01-01 09:00:00,Dr. Fischer,29,0.39069049536867784,0.8114719609640842,Sentinel-3B,Light Cloud,0.7023123717824957,0.07084344985973846
7184,LOC_6586,48.03155363465655,9.934764107040692,2020-01-01 18:00:00,turbidity_index,3.5185347039610306,3.835731133558525,index,3.4521580202026727,4.219304246914378,Neural Network,0.9265459686208203,2020-01-01 12:00:00,CALIBRO_AGENT,44,0.43954078876117897,0.7966044478350545,Sentinel-3B,Clear,0.7011815110618581,0.10000143606012703
7356,LOC_5644,48.24003024474638,9.982741827016048,2020-01-01 16:00:00,turbidity_index,9.20327059161708,9.271339840170098,index,8.344205856153089,10.19847382418711,Gradient Boosting,0.8796151351109914,2020-01-01 03:00:00,Dr. Wagner,30,0.5682801686588992,0.8057272033772922,Sentinel-2A,Heavy Cloud,1.3496399481407038,0.1499993309275085
2224,LOC_5135,48.10932691923419,8.91713054131311,2020-01-01 03:00:00,turbidity_index,8.01946567635429,7.660986986488771,index,6.894888287839894,8.427085685137648,Neural Network,0.8988871321623892,2020-01-01 10:00:00,CALIBRO_AGENT,13,0.45522366478665577,0.9248531270332218,Sentinel-2B,Light Cloud,1.84314983211814,0.11222394303090437
9557,LOC_4267,46.80556059678397,9.758927986507569,2020-01-01 14:00:00,turbidity_index,7.86692980280147,7.389822208291191,index,6.6508399874620725,8.128804429120311,Neural Network,0.8355865942001344,2020-01-01 13:00:00,CALIBRO_AGENT,13,0.6657743278058016,0.9400084349595436,Sentinel-3B,Heavy Cloud,1.1470422405623704,0.21072461457724007
5269,LOC_4569,46.90912297183673,9.811216919983774,2020-01-01 16:00:00,surface_temperature,5.733715732800632,5.82555275171767,°C,5.242997476545903,6.408108026889438,Linear Regression,0.7733419874637453,2020-01-01 13:00:00,CALIBRO_AGENT,14,0.7021569277909933,0.9269072014867585,Landsat-8,Moderate Cloud,2.418064792089028,0.07951937734987306
2281,LOC_8265,47.85743015852886,9.741059629266406,2020-01-01 07:00:00,surface_temperature,9.19697504104347,8.891842689649133,°C,8.00265842068422,9.781026958614047,Neural Network,0.892891160045651,2020-01-01 18:00:00,Dr. Wagner,39,0.7636748699612692,0.7769161273078532,Landsat-8,Heavy Cloud,2.1754778614886394,0.295107372411385
