satellite_name,sensor_type,acquisition_date,latitude,longitude,pixel_size,ndvi,surface_temperature,reflectance_blue,reflectance_green,reflectance_red,reflectance_nir,chlorophyll_index,turbidity_index,cloud_coverage,quality_flag,lake_name,atmospheric_correction,radiometric_calibration,processing_level,data_center,download_timestamp,file_size_mb,compression_ratio
Sentinel-2A,OLCI,2020-01-01,47.65899534367433,9.174576841393948,10.0,0.08621895968341213,0.8900823856525393,0.0383390470652665,0.041863178211525104,0.042986195144666894,0.09310223784447286,3.774267896793345,2.2527603646883927,73.5115731254621,1,Bodensee,None,Legacy,L1C,EUMETSAT,2020-01-01 11:01:19.603281,433.0691631918943,0.7165884016828179
Sentinel-3B,OLI-2,2020-01-04,47.65906644372507,9.175440110708058,20.0,0.13485415911171073,2.1073013048806,0.03381848425957923,0.05811974424134622,0.03335569911634142,0.07871261954639047,3.149634993631868,1.8749596653502647,69.27180367083702,1,Bodensee,None,Legacy,L2A,NASA,2020-01-04 17:25:46.766522,152.24088043983886,0.8974319539706188
Sentinel-2B,OLCI,2020-01-08,47.659337654553276,9.17492578605271,10.0,0.07752924015683363,3.7425100337592165,0.034877125814801326,0.03751852444050023,0.045573097012547394,0.10723032546961933,3.724512281408925,2.2159209463892053,21.986021880609425,1,Bodensee,Applied,Recent,L2A,DLR,2020-01-08 13:11:53.069694,455.25514871323344,0.8336348470558068
Sentinel-3B,OLCI,2020-01-11,47.659042917842406,9.175362062353255,30.0,0.1332524733257413,-6.011403399374084,0.0471279720269806,0.04897225822794625,0.025207280093727285,0.09295111696464492,2.860013947411506,1.6943055446031177,54.13867416415982,1,Bodensee,None,Recent,L1C,DLR,2020-01-11 19:57:54.181066,106.75726871542608,0.8440591420802734
Sentinel-3B,OLI-2,2020-01-13,47.6580748558933,9.174316078586186,10.0,0.16316947883774346,-2.0603226963824213,0.054709721893221985,0.049341759776893576,0.029922702429128808,0.09479387073296078,3.9603054024142597,2.3525678248491677,44.432953377989634,1,Bodensee,None,Standard,L2A,EUMETSAT,2020-01-13 09:10:44.188037,79.75637855476208,0.7019197155182688
Landsat-9,OLCI,2020-01-17,47.65915551168797,9.175158595477129,10.0,0.09779731930824032,0.21315716628393622,0.04808751539798663,0.04019630262469667,0.04273687398791712,0.10198659319911761,3.536291301829085,2.094420379486944,38.72154851397492,0,Bodensee,Partial,Legacy,L1C,DLR,2020-01-17 07:57:00.293986,156.22632480686278,0.8092908759150599
Landsat-8,MSI,2020-01-20,47.65915955453486,9.17397638747604,30.0,0.10902057509753993,-1.6066547867301473,0.033329579805880465,0.038539678016410055,0.030658237469728386,0.06768819793279804,3.5843591923739826,2.120541006617643,78.61825978059028,1,Bodensee,Partial,Standard,L3,DLR,2020-01-20 17:54:12.144992,247.940813882102,0.7119363166912757
Sentinel-3A,MSI,2020-01-24,47.65932521143609,9.174684225315096,20.0,0.07268656516538455,-6.492162126937405,0.050501369888070136,0.038701608244349414,0.04146816132279853,0.07986842981757482,3.480941289386653,2.054989417887381,70.37296388200517,1,Bodensee,Applied,Standard,L1C,EUMETSAT,2020-01-24 05:23:54.415076,87.35651420169154,0.7143742312131032
Sentinel-2B,OLCI,2020-01-26,47.65744591689471,9.174961904748342,10.0,0.10728207055267702,-5.022617243050052,0.04724603899255611,0.04344998926336591,0.026234037235372445,0.0628012532365424,3.0966266667247284,1.822708884897289,72.79698515480086,1,Bodensee,None,Legacy,L3,ESA,2020-01-26 23:03:10.954019,253.35621929847593,0.7618118459840623
Sentinel-3A,MSI,2020-01-30,47.659535771535076,9.174799527254926,10.0,0.07788874450118752,-6.060950507097425,0.03597317272867525,0.04070950461090549,0.0437346136549998,0.07431111277804225,3.1687287491302536,1.8627139666839587,34.82181009443462,0,Bodensee,Applied,Legacy,L2A,EUMETSAT,2020-01-30 06:51:35.449008,65.77774038101694,0.8972523800597592
Landsat-8,OLI,2020-02-01,47.65849252119436,9.175084669062192,20.0,0.08068652824002992,-7.51021259107938,0.04951249508044209,0.04923418310198013,0.03886882661888201,0.06609647675853972,2.6857202734051366,1.57134833219027,24.128953753672633,1,Bodensee,Partial,Recent,L2A,NASA,2020-02-01 19:13:31.738382,360.6300191695913,0.7306289615088111
Sentinel-3A,OLI-2,2020-02-03,47.659310121584554,9.175374107169322,30.0,0.06484839647214559,-5.496715505003692,0.0501105604717106,0.044774707981400645,0.02687205578999463,0.10070276404263245,2.5989449040207475,1.51777006879923,46.81333522572671,1,Bodensee,Partial,Legacy,L2A,NASA,2020-02-03 06:35:59.006351,82.47708090041445,0.8573516675754074
