satellite_name,sensor_type,acquisition_date,latitude,longitude,pixel_size,ndvi,surface_temperature,reflectance_blue,reflectance_green,reflectance_red,reflectance_nir,chlorophyll_index,turbidity_index,cloud_coverage,quality_flag,lake_name,atmospheric_correction,radiometric_calibration,processing_level,data_center,download_timestamp,file_size_mb,compression_ratio
Sentinel-3A,OLCI,2023-01-04,47.659030394692444,9.174876678991504,30.0,0.1793899819825983,4.682616070174333,0.03999721727657729,0.045612798899664554,0.02629243394962095,0.07022864741220668,4.126494628791131,2.4658084865585237,55.2478587795145,1,Bodensee,None,Legacy,L1C,ESA,2023-01-04 03:23:24.243498,159.8800929828522,0.8842617445589388
Sentinel-2A,OLI-2,2023-01-08,47.658516241669304,9.175216654027597,10.0,0.1437932598495512,1.2127083897256832,0.03256713847172262,0.04972267013542667,0.03151353503477317,0.07491390118896737,3.5778248387002685,2.1324630917534844,22.069623376229874,1,Bodensee,Partial,Standard,L2A,EUMETSAT,2023-01-08 19:32:56.299219,158.45512338716662,0.797417047785477
Landsat-9,OLI-2,2023-01-10,47.65885539890187,9.174780334903334,10.0,0.12439485467184616,2.146837763938366,0.04132972996142878,0.039501331658786894,0.0383659042474554,0.09504901136281513,3.5183012262502786,2.094710843745712,20.066673845506706,1,Bodensee,Applied,Legacy,L3,NASA,2023-01-10 19:40:33.271314,128.14451032155148,0.8861305298901228
Sentinel-3A,MSI,2023-01-12,47.65840551850695,9.175540456859585,30.0,0.12262412778117314,-0.5404018811435469,0.050384525885317624,0.03550231835120567,0.029432254084219667,0.09726386634166498,3.6302283640799144,2.1598547290296604,78.84614542991811,1,Bodensee,None,Standard,L3,ESA,2023-01-12 01:22:19.757707,390.0665335899929,0.7997612617974467
Landsat-9,MSI,2023-01-14,47.65865727315032,9.17442521897382,20.0,0.16830622825835445,-1.9723407776910489,0.032796196238613476,0.059491107048966874,0.03185405441257606,0.08860584437568013,3.556689389792117,2.113747015257531,51.59766070825003,1,Bodensee,Partial,Standard,L1C,NASA,2023-01-14 04:42:36.165768,309.1854124046286,0.750884242300596
Landsat-8,OLI-2,2023-01-18,47.65827742492077,9.174664458617448,30.0,0.11812949537086541,0.4514681120106916,0.0426423103995385,0.03613070683465546,0.04671099811797676,0.09373554884400298,4.3652653427925605,2.5950175045443853,71.39181989556394,1,Bodensee,Partial,Recent,L3,ESA,2023-01-18 17:57:30.463665,326.20495560129837,0.7265900030540524
Landsat-8,OLI,2023-01-22,47.65914397999758,9.175351353583197,30.0,0.11792005341233891,-5.055279852544869,0.046561752104876356,0.03503705310950617,0.03896210115545054,0.10709797041467736,3.321218518990595,1.9648543373746037,42.382949324589134,1,Bodensee,None,Standard,L1C,NASA,2023-01-22 20:20:18.399371,308.0752869614542,0.827871053304701
Landsat-9,OLI-2,2023-01-25,47.65813940899596,9.175380909463035,20.0,0.14471055826144005,-0.8840813188498498,0.03651955233149803,0.04316501061102362,0.03748901413525014,0.08825511912923723,3.8626661869873287,2.287024190994796,63.83355505298579,1,Bodensee,Partial,Recent,L2A,NASA,2023-01-25 01:25:20.108548,229.37662004007106,0.7835026013125611
Landsat-8,OLCI,2023-01-27,47.658317551321346,9.174579973246601,20.0,0.1330544479696198,-4.532928436599689,0.038011816690512464,0.05487042485313569,0.04216253479056578,0.08594594592201468,3.263670539461136,1.9258804949124788,61.74839955222512,1,Bodensee,Applied,Recent,L1C,ESA,2023-01-27 08:49:58.902628,230.74157459491116,0.8216267243469653
Landsat-9,OLCI,2023-02-01,47.658656644850296,9.174717100661184,30.0,0.06186562473749345,-2.4627302394093915,0.03190323326335313,0.052272341580724135,0.030956012696798416,0.0880930176442713,3.4432980363965355,2.029491217551733,50.24668786090076,1,Bodensee,Applied,Standard,L2A,EUMETSAT,2023-02-01 16:50:53.237649,279.052562441298,0.8615349130930308
